,autoRobot.None,autoRobot.AutoRun,endgameRobot.None,endgameRobot.Parking,endgameRobot.Climbing,endgameRobot.Levitate,endgameRobot.Unknown,adjustPoints,autoOwnershipPoints,autoPoints,autoQuestRankingPoint,autoRunPoints,autoScaleOwnershipSec,autoSwitchAtZero,autoSwitchOwnershipSec,endgamePoints,faceTheBossRankingPoint,foulCount,foulPoints,rp,tba_gameData_LLL,tba_gameData_LRL,tba_gameData_RLR,tba_gameData_RRR,techFoulCount,teleopOwnershipPoints,teleopPoints,teleopScaleBoostSec,teleopScaleForceSec,teleopScaleOwnershipSec,teleopSwitchBoostSec,teleopSwitchForceSec,teleopSwitchOwnershipSec,totalPoints,vaultBoostPlayed,vaultBoostTotal,vaultForcePlayed,vaultForceTotal,vaultLevitatePlayed,vaultLevitateTotal,vaultPoints,rank
frc1011,0,9,2,3,1,3,0,0.0,14.06105034039451,19.529942897199227,0.4180778420604283,5.468892556804717,-0.2809525958492045,0.533905680386069,7.311477766046462,14.597110731445476,-0.011226602187247803,0.20506529860044298,-4.404002817170382,1.1058268399368407,0.015325329822232992,0.2695549927810492,0.043650324322329834,0.004802686407721468,0.02804040022970214,103.29163953132041,137.47925348739722,3.5519984413620245,2.394787556820058,34.52108862863591,3.602186722940157,3.073751530686132,61.61636573838231,152.63413940449297,0.8193002390453037,1.6127996641174396,1.0002960374841794,1.2943423783911419,0.8024006415275384,1.0109586024176855,19.59050322463134,5
frc1138,1,8,1,4,3,1,0,0.0,2.540134998698636,6.025925889972379,0.009494363281646195,3.4857908912737443,-0.023728352639691613,0.04306262845657014,1.29379585198901,16.342279899057026,-0.02068278516907357,-0.30797610181824453,15.112364675793959,0.11038714973347502,0.05496784322273472,0.1651124733760133,0.30136971511617655,-0.1881166983815913,0.0670820674337877,54.038487680569105,74.20572809726336,-0.006401656102374975,0.6649805711163643,-0.15473833259514969,0.33670443023335683,-0.18196648220327338,53.86292323903328,95.35503990737564,-0.22359476994577365,-0.025422652031199422,0.10251419205008155,0.0020716367713152217,0.8912182781676163,0.7883431187873268,3.8249605176372152,48
frc1165,1,8,1,7,0,1,0,0.0,-0.17381638123487397,4.281160167153297,0.08362879428938114,4.454976548388171,-0.42486609306964496,0.12242817313581998,0.3379579024522076,7.726013365900993,-0.06652839423117396,0.829412623732088,2.875388661575442,0.13689393624120025,-0.00017871122276174115,0.13364400858485126,-0.07884933630615884,0.27871737227740284,0.0997898529667065,44.89311208625324,58.44151834395858,-1.0492552848328502,1.430709158047273,13.08320680069639,0.4769435677635604,0.15658449866366164,32.382217002626135,65.60185262066894,-0.42301485689040147,-0.12293294568084605,0.3428676251287585,0.361868777793409,0.8154912353674142,0.9255427462483099,5.822392891804364,45
frc1492,0,9,0,7,0,2,0,0.0,1.4615835057256334,5.146033101185681,0.11904970310022278,3.6844495954600442,-0.009582610543383729,0.10171283194778227,0.7403743634062003,15.594845555332965,-0.06495497116652953,0.6338001237296813,-8.885536102258255,0.7426167445871736,0.21822186126424745,-0.0740640420349072,0.37295106350596813,-0.18377554940197524,0.14434640304976515,85.39480019329079,118.84469259245247,0.8928384097124357,3.088865159613741,33.89745582861998,5.177124771111707,3.615617842398691,45.427381183846656,115.09463881044931,1.0591841435986653,1.2310777181756876,0.9531509244392704,0.8167107307683346,1.5805156224234498,1.5232209198217252,17.855046843828735,14
frc1828,6,3,8,0,0,1,0,0.0,-2.5264996220056033,0.13057411941785269,-0.327486008431701,2.6570737414234546,-0.046855767140244864,-0.202140187987583,-1.2163940438625567,-1.893527535027296,0.00020993050514432274,-0.46995134687059614,9.57081145914854,-0.1458724173241691,-0.02773529898123387,0.10692553002950511,0.11432310366863861,0.13981999861642375,-0.049866991764723034,33.444363789644314,30.09031088969905,-0.4138803555873679,-0.8940668391969171,3.109105123782042,1.9063132374178575,-1.8759544157422658,28.842825784031778,39.806407647203216,-0.1254395831274083,0.14421676713523934,-0.3555973150210503,-0.2532450650701476,-0.8647862664674706,-0.18307677504868403,-1.4605253649179588,54
frc1836,0,9,0,2,2,5,0,0.0,17.469702665278753,23.014768140573207,0.5523744394701647,5.545065475294457,0.1835210693071313,0.7422150395328233,8.551330263332243,23.380618561664576,0.16115882948527283,-0.07711510311374031,21.933327217177357,0.8794152653345806,0.1929388001755974,-0.12324964373612837,0.2818981939141819,-0.0182540170203178,0.1486492757276835,63.17134325591471,100.71254763442104,1.0253756467980835,2.1909762327572504,-1.5562400750362375,2.496426542471114,1.1949503218044502,61.205781141681726,145.66711731979194,0.5288228324261526,0.6817577249098778,0.5193816775492404,0.8246081562733526,1.4245168538669921,1.3257512821851236,14.160585816841767,9
frc2073,6,3,5,2,0,2,0,0.0,4.603081973141669,4.774657111924023,-0.4737155749546357,0.17157513878235509,0.44072886767881064,0.19298611606620697,1.8608121188920235,-4.520539154425598,-0.10499055280582714,0.04692243782917034,8.610561285350665,-0.13499089329396693,-0.09633867483425146,-0.011649863128322932,0.07493245899293255,0.36638941230297567,-0.060776495570574976,76.15252960541743,77.261073553655,-0.28181178256030287,1.016782310622462,11.098085566405201,4.8140921699497,-0.845728396786296,60.52216365162283,90.66857708566195,0.2471943883025139,0.1866303192093252,0.2199811945731182,0.1915502098084837,0.33261551216003304,0.74763609151482,5.629083102663143,31
frc2122,0,9,0,5,0,4,0,0.0,15.353849365100459,20.186474200495155,0.4355617758548921,4.832624835394701,3.685870468292423,0.32763563423709674,3.9910542142578067,23.853362599784326,0.1317860491457496,-0.21523747001915122,3.6679791435553115,1.7962028593744268,-0.05757151740548673,-0.05604062078390709,-0.08448768296519898,0.5314331544879263,-0.007722403283915241,128.92679059739385,166.04749877957948,4.085914199061859,0.08741014432480437,68.94615776843294,4.007792608893662,1.0863170940194395,51.88692602100536,189.9115169930136,0.9879376784827951,1.2339049505723738,0.2846377842977375,0.13317952495194135,1.4314506617625269,1.2863846409559403,13.267345582401278,2
frc2135,1,8,2,6,1,0,0,0.0,1.109948809573242,5.9498749868463765,-0.023268563964765426,4.8399261772731315,-0.46784549000594433,0.028201288428127524,1.0228198947925653,20.623696353550628,0.10336920292585208,0.04436331551062005,2.7200692629055587,0.26806790040334216,0.1197113956038342,-0.0951321783890445,0.11110594435491672,0.19764817176362698,-0.06753702712737664,53.50283563078858,91.05364855263178,1.3537291996292153,3.0593918810184055,0.9439166069951579,2.093751537417838,3.7657688836716603,49.111438286746356,99.73946660480755,0.649438038301022,0.8277984381213712,0.9590458137488654,1.2794945028746962,1.3759822844737166,1.2781303726624464,16.92711656829257,42
frc2375,2,7,2,4,0,3,0,0.0,-0.7280756017374513,4.834168310898841,0.08512566137947845,5.562243912636291,-0.07455875979635829,0.01895080569614864,-0.2894790410723669,15.70964996826456,0.05671204939419677,-0.2035478286647117,5.6369548719987215,0.9386709362629113,-0.19251881253168474,0.02548363083447873,0.07975359982264851,0.42061491520789096,-0.07197867516533624,45.284038825502144,74.20413587483279,0.6854092997445131,0.7131414755095764,14.085477457743941,0.4762160897817518,2.4165419970331943,30.03693597823195,84.6860370459368,0.6567003188202435,0.849531598503556,0.47379509912697415,1.0327292346616352,0.5308373167237119,0.7598285830480292,13.210447081066114,21
frc2403,1,8,2,4,2,1,0,0.0,3.2151449308375377,8.635842818586896,0.28617952976331845,5.420697887749359,0.19917307894712213,0.2857855297031841,1.408399386471647,9.83101407387309,-0.006248554318694234,0.15354506386177214,-0.08197569334017685,0.9090542390804777,0.1763089740548291,-0.12585194911097256,0.14955050560302813,0.13332580278644876,-0.07307887614553313,62.690712655073696,82.22251925342663,2.5412813950061013,-0.7218084407248785,17.40147426251308,3.695211859140182,2.0056254968828293,39.052745138414345,90.77475246982132,0.8277800072870454,0.6653810145919624,0.4161209490179556,0.7640611381473027,0.6881241635595736,0.5107163521567112,9.700792524479885,29
frc2437,2,7,4,0,0,4,1,0.0,0.9617241173700948,4.51426913651288,-0.05110282565598542,3.5525450191427863,-0.1492727956128569,-0.0013509392752291752,0.6301348542979041,5.377050191573636,-0.036740510285285376,0.37352375073703914,-1.0602274547383135,-0.06089323313557854,0.18131688851475056,0.031004054104573728,-0.04760706155857404,0.16861945227258315,-0.00824327197390474,22.092425781330306,26.89070186080971,0.06728370785207555,-0.4553752277433413,-4.551926342956632,1.3137435410240332,0.11256716192097518,25.263324875410838,30.33208779046233,-0.12490233131563834,-0.0421263044468055,-0.2772800400593485,-0.43304964114602623,-0.024589326667217803,0.35942112317398883,-0.5787741120942167,46
