,autoRobot.None,autoRobot.AutoRun,endgameRobot.None,endgameRobot.Parking,endgameRobot.Climbing,endgameRobot.Levitate,endgameRobot.Unknown,adjustPoints,autoOwnershipPoints,autoPoints,autoQuestRankingPoint,autoRunPoints,autoScaleOwnershipSec,autoSwitchAtZero,autoSwitchOwnershipSec,endgamePoints,faceTheBossRankingPoint,foulCount,foulPoints,rp,tba_gameData_LLL,tba_gameData_LRL,tba_gameData_RLR,tba_gameData_RRR,techFoulCount,teleopOwnershipPoints,teleopPoints,teleopScaleBoostSec,teleopScaleForceSec,teleopScaleOwnershipSec,teleopSwitchBoostSec,teleopSwitchForceSec,teleopSwitchOwnershipSec,totalPoints,vaultBoostPlayed,vaultBoostTotal,vaultForcePlayed,vaultForceTotal,vaultLevitatePlayed,vaultLevitateTotal,vaultPoints,rank
frc6656,0,9,2,3,0,4,0,0.0,4.635456871425575,8.45261975698532,0.013797699507152796,3.8171628855597426,0.43404266028024396,0.14747585900944232,1.8836857754325425,0.6977016679634369,-0.07911126134706573,0.48282629045757264,-4.558845267721543,0.66060559936186,-0.1108906554500212,0.12996493175355744,0.019766644852835358,0.2944924121769612,-0.11270972936397738,71.00243537479551,78.35245814793437,1.9654199914201838,-0.1819068390928287,23.95222607817373,1.3695290912651932,-1.5496928141201178,43.71526021393643,82.2763771408303,0.5004681078903414,0.6054491383975226,-0.0391608579614042,0.2053739798536508,0.20800499205151246,0.5196411027839123,6.652321105175429,51
frc668,1,8,2,5,0,2,0,0.0,5.907166948906029,10.045236571771985,0.33299736511921785,4.138069622865954,-0.6692786297896901,0.38302076100986004,3.6228621042427047,14.31332691498632,0.0441639365940143,0.4217227561405095,4.7294233520768465,0.915974210468794,0.17006107125426315,0.0710467286760442,-0.10729250099897722,0.199518034402003,-0.29254673528097463,58.78023537104889,77.41079501951901,0.8436168359028722,-1.618802533347608,14.197971758697783,-0.6092111843512027,0.6238022096832356,44.34785796079944,92.21061423550927,0.05914919167263699,0.06196415273595224,-0.2949962843434084,-0.005774809860317864,0.6371613230546995,0.8072572038211224,4.317232733483784,17
frc6871,0,9,0,4,1,4,0,0.0,-2.9355409224801265,1.4005096270070425,-0.21679986860501044,4.336050549487166,0.7191633562600471,-0.3057951215427661,-2.1869338175001096,28.165339448460735,0.16426756821076544,0.275372205729389,-1.4708333560183513,0.22829942437337036,0.26997291005667035,-0.023706474391852923,0.20775588695284164,-0.12068898928432582,0.11317722283790671,27.687604966638233,66.13305118468753,0.9554458262276602,1.987941870144554,12.361427829625313,-0.02614803401652699,1.263906471027969,14.39687934480181,66.07265943044823,0.034266767025578765,0.3195788207038329,0.7283854426553399,0.7126848719275991,0.9865307828554513,1.023757661286284,10.280106769588578,10
frc6931,6,3,1,3,0,5,0,0.0,3.748108070042952,8.710365787047547,0.2086456080629244,4.962257717004595,0.5923171222161431,0.08819699187871964,1.281736912805333,7.757346368017961,-0.07427171637506416,0.49745430693950754,15.574410062826985,0.7318675601765915,-0.23688236553085534,0.10316704482669174,0.4483869888135079,0.018661665223989127,0.6964878243819019,49.25915366073936,65.94856570019121,-1.8892126719956452,2.5884202354960215,10.851637056583805,1.2967463668894221,-0.5004759689646875,38.999982909261774,90.24013877886064,-0.23098777434687,0.11057498513502574,0.4979999420365544,0.5281978747633437,1.136672938429694,1.1476402743884115,8.932065671433904,56
frc6968,3,6,2,3,1,3,0,0.0,1.7373983201745145,5.541781731627006,0.05227746073200457,3.804383411452491,0.11963344367064743,-0.0230813381718284,0.74906571641661,16.81034740792907,-0.030823120541759744,-0.2198681960906855,30.570215549139085,0.4923700041644137,0.09749721424075655,-0.0008208089694543425,0.14462243637336225,0.09203449168866853,0.11000419526944201,42.12408653271301,75.3839059658255,1.4271139984402628,0.8949196449117295,15.114651850808041,2.4568127090845895,2.480756629115358,23.12550797438012,111.5106231784226,0.6700041364570389,1.3466104878325265,0.48339418091189507,0.67491597284626,1.175168490682319,1.2683679443579075,16.449472025183468,19
frc7059,0,9,1,5,1,2,0,0.0,2.6483044391991255,7.0945426891697165,0.021790141502170034,4.4462382499705875,-0.23906253227317148,0.18960295006545408,1.5632147518727342,17.00947751260342,-0.035054154230444216,0.15275657231024192,21.28699231826927,0.4297518861861771,-0.08759909917481909,0.038939467549792765,0.49723503353261833,-0.11524206857425862,0.24076871788355522,43.77000749296225,65.00562300429343,-0.38752203150252607,1.2820833435673515,8.463593373835652,-0.4239703221819793,1.7789074222062724,36.11790647281112,93.39076351915472,-0.17873978386698272,-0.41820289389648563,0.40267886369069417,0.33034282321641806,0.6247994784187283,0.9330876704256184,4.226137998727754,27
frc7214,0,9,1,5,0,3,0,0.0,5.1534318668056525,9.10131849385945,0.2807143843569383,3.9478866270537956,-0.5826278985484693,0.42130923619372806,3.159343831951296,12.655312889405957,-0.053279730367140815,-0.3258929116448427,-5.778004879835899,0.7569119988381631,-0.18109684833390444,0.2932639222995802,0.41630657162992823,-0.1951403122622709,0.46899832382971296,85.0534635897018,107.24616156354827,-1.0252418691920875,2.9884664668372096,25.66970257182009,2.3310493151005782,1.17008757743143,58.077953571973204,110.58637420089671,0.30640153650205487,0.2450534805813045,0.718190172352466,0.6927262344564525,0.9434334656528816,0.9696973018503388,9.53738508444048,43
frc751,1,8,5,0,0,4,0,0.0,-0.35607939884139883,2.3729139690155434,-0.13550418974976763,2.728993367856943,0.09243525301722227,-0.07173633236698523,-0.2704749524379225,10.438319426768768,0.05377312595717761,-0.4225595534044887,-1.1314155722554613,0.24037524933395504,0.04778272851356499,0.22226754802157828,0.011846171796674881,0.05143688500151572,0.058884163822272795,54.17803756744586,71.77319263315306,-0.6417447302725705,1.645197834741449,20.98657337770168,2.7015701998689363,2.9999681652158845,31.131638720147816,73.04234226921251,0.474829854850378,0.4191898542711639,0.510379867199769,0.4941972812478922,0.44530958428192907,0.5179799922686275,7.156835638938419,49
frc8,1,8,3,3,0,3,0,0.0,6.233015287611638,10.450896444363034,0.42163569426285363,4.217881156751403,0.6038089360366633,0.2510159743222088,2.512698707769156,13.651940404490627,-0.0358172432627451,0.20789800551901227,18.826791079060357,0.4201834059522108,-0.021132920694377916,0.1466245485490502,0.22321158664326357,-0.015369881164602764,0.12397766717270378,12.357785075334931,40.74955601320774,-1.322338485343213,4.541139186690881,-2.9973311252551342,1.4127510514358286,0.24433666193600656,15.264703634497444,70.04033072019945,0.457030836216103,0.7351723027455312,0.9856345423312384,0.8506955513550807,1.2535412575871299,1.362098252575826,14.739830533382186,8
frc842,0,9,0,2,7,0,0,0.0,4.068099074745928,8.21700961143778,0.024519679023816326,4.148910536691854,1.056926107060047,0.16721517414060783,0.9771234303129169,33.21125697507932,0.07336036700075364,-0.1352821923835493,16.102758632761354,0.0555767216422729,-0.14442379260174681,0.0889862297232437,0.3565973774296035,0.03217351878223315,0.44052366290296463,28.336110682959546,71.00061320294861,-1.2410577687421944,1.1200649433448966,-1.105253541581618,-0.7524435758477193,2.148358250705917,31.434865569131066,95.31222753530032,0.3779237220660424,0.31941971584933704,0.3093653262204522,0.5795040017343144,1.1919306752146575,0.9917253913983018,9.453245544909764,4
